,F1,F2,F3,F4,F5,F6,F7,F8,F9,Construct
PE1,0.37767857435471464,-0.005922235865195103,-0.036277162817036884,0.014193390352534382,0.006899000329424041,-0.018295591420058325,-0.025245901767803593,-0.005344015972022394,-0.03285182336997685,PE
PE2,0.3510338020342989,0.160850980052295,0.003850780173417619,0.09076096932557298,0.027205808886387073,0.021438934063092926,-0.12609706282934457,0.03866466313018661,-0.0583081931260296,PE
EE1,0.015921648565303377,-0.03528668688502378,0.08073714554832474,1.0394966500928964,-0.045135289333793474,0.0011641076643548768,0.033718718281550195,-0.0009817205606537092,-0.06623781534255299,EE
EE2,0.21558941727358513,0.10650677788373848,-0.09351132345163932,0.38749450564647603,0.04055323614182339,0.03579186770434231,0.06874203462804321,-0.010261268440316213,0.14084293710567558,EE
SI1,0.26878782277666297,0.08986019323645943,0.0639090254256966,0.010240395107463536,-0.05902164448709791,-0.019149571411970982,0.18103392662455564,0.7596848042684309,-0.009584984960559066,SI
SI2,0.08531162062926557,0.2208960652814522,0.009489598274929392,-0.04873427144465428,0.04185450016053893,-0.00870935775348057,0.1915631431674734,0.4206143422977999,0.05374717119214258,SI
FC1,-0.08624610793356409,0.7552051935079127,0.041949028932986895,0.00550700540023963,-0.04232252246154,0.04405671135608636,-0.11211037181785748,0.07835228086911798,0.18795468603207058,FC
FC2,0.2991381836478027,0.8131112938102141,-0.04685107084106851,-0.03130114459672297,0.004949117611468102,-0.006399455919371129,-0.09894706174027305,-0.01848458803457135,-0.17195462804275136,FC
HM1,1.0718017482226976,-0.0016878954553104244,-0.0483659894120543,-0.0165639890311482,0.023570964327089283,-0.06932161493707634,-0.12453648921690405,0.09178537150944042,0.07317772688852686,HM
HM2,0.8354647411758683,-0.013915702814143682,0.018842032221920203,0.01690748020080937,0.03419005144600697,0.010278305559029368,0.007832371989322016,0.04724336746079601,-0.014594076214545115,HM
PV1,0.7062252858030102,-0.08168437926705967,0.031186697606077406,0.06794624714169478,-0.02688574417990068,0.07732988303179275,-0.04819020142466218,0.0032790468101105935,0.08252062625379264,PV
PV2,0.8874128976778554,-0.050549659566445755,0.03163466005227333,-0.06399869440920765,-0.07460490538572537,-0.022062628732840404,0.08179990277022506,-0.021561569536427468,0.02019516464213835,PV
HB1,0.20174894924352887,0.028862923820572584,-0.056568541935362655,0.02193345513424251,-0.021944089431620673,0.7646205921270107,0.013187992101013712,-0.025092143299953497,0.07595955008363542,HB
HB2,0.38437746435078635,0.07560568099127662,0.0425742852795736,-0.00482502782869032,0.0669382049109169,0.5653416017622672,0.04952691079947149,-0.008131637560914971,-0.07628189364007124,HB
VO1,0.6331959610409932,0.12093453879469136,0.03813468049450256,-0.01967258907679322,-0.0002608410511605536,0.07158313636820637,0.11281666992567038,0.0013794526161415705,-0.08248041060399308,VO
VO2,0.046565441495237246,-0.09970782726365314,-0.06866990579587878,0.026642817830443755,0.027320602405363582,0.025193905483862883,0.7761162734780811,0.1460921351291829,-0.05036014998371073,VO
TR1,0.3256454821970285,0.00039899051688454455,-0.008889807639863221,-0.018413353566335375,0.7059241001807939,0.030632044705683696,-0.03958264250126882,0.031190840115315987,-0.005309553302950674,TR
TR2,0.21221834615053983,-0.03304143276078392,0.06119839774473263,-0.028710955167144243,0.731091417930312,-0.021847842597422763,0.10243045251068109,-0.09358815312101162,0.0327789932230505,TR
EX1,0.17233252402151994,0.07470084495645002,-0.0029770934407149603,-0.0073401135956619725,0.021382559326010422,0.027271588338035307,-0.07770128660231786,0.005978916692662515,0.7011591868249966,EX
EX2,0.2695423894398484,0.142652174220208,0.011634785078243219,0.0222367353586822,0.026170358061769754,-0.07306096546981254,0.22739770487843508,-0.14824311158090173,0.07480696179514512,EX
ER1,-0.015353806385083301,0.07560761428681999,0.8006850959278959,0.11488373607299199,0.07076984558832768,-0.0723953811315804,-0.14148850729793788,0.07886977417643691,-0.030952251166930282,ER
ER2,-0.025699996528786285,0.03382755134952582,0.3722444449490781,-0.01953515812390553,-0.03213456902705787,-0.03510981997137754,0.2703063713465761,-0.10468922014770546,0.03277688472615392,ER
AX1,-0.23623057671440653,0.05360592947158256,0.4091210565236339,-0.026539922589410993,-0.04957546429943466,0.0527086222931903,0.13012825162974773,-0.09753345580614008,-0.008204257968688032,AX
AX2,0.15258764708229466,-0.123893189359255,0.5813551791887621,-0.06628736543449675,-0.017884304886527747,0.05821373887054987,-0.08831010297936556,0.04403274510410193,0.02148555682442702,AX
